text,target
"YOU THERE, PACHIRISU PUNK, PREPARE TO BE DESTROYED",0
Face absolutely flattened against the glass of the treat shop,0
Bruhhhh I screamed when she said that 😭 MY HEAD WAS LIKE DOCTOR DOCTORR KO BULAAO and she said agar m… https://t.co/8HKknRU7VT,0
"Granting warrants to ""authorise police to enter an office at the force’s headquarters in Wan Chai where his devices were st…",0
Ang lala hahaha I woke up to a deluge of death threats HAHAHAHA,0
my ex sent me a bootycall at like 2am and I told her I wasn’t expecting it cuz I thought she hated me and she said “yea I stil…,0
Suh yuh naah call name?,0
Citizens To Gun Grabbing Governor: 'Order Body Bags' https://t.co/vU8JaiQL7W via,0
"“This time, we did not set our goals based on human fatalities, [because] our goal was not to kill the enemy’s sold… https://t.co/7VmyMKYEiH",0
Of course I understand. What she doesn't understand is that consent to sex is not consen… https://t.co/b1IDK1POxq,0
Cherry Pepsi with a drop of vanilla is the bomb-bomb!! #MakingMyselfLookBusy #leaninginwins2020,0
A few ways to optimise your damage when closer to the wall https://t.co/ngUHBNJrvE,0
"❛ So, it seems every one is off fighting their own fights, huh? This is great, it’ll give me a chance to heal any o… https://t.co/LOaSOm9lv0",0
Explain how this works. You demand the minimum wage for all workers be $15.00/hour! Then you flood the labor market with…,0
Please drown in the sea of me ✍️ #Love 🌹,0
Anti-trans violence is an epidemic that plagues this nation. It goes well beyond fatalities: it includes physical &amp; sexual assau…,0
the meme is dead but Sandstorm is a bit of a banger,0
On a battlefield tour a couple of years ago I met a gent who had been badly wounded when his ship was b… https://t.co/yhNZgF1c3T,0
My first listen was also in the whip I damn near wrecked,0
send me the money for one and I’ll let u watch a dude tie me down and electrocute me idc I’ll even dress as dva or… https://t.co/j4PtrMN49J,0
War Zone [prod. By Legacy] https://t.co/pwUCnqpkDE,0
i’m scared someone is singing curfew overtime,0
#365daysofbiking Trapped in my steelwork https://t.co/wvZ6stS9pR https://t.co/rLjDwVNLIF,0
"""The same military commanders who likely informed Trump they would not bomb Shiraz or Yazd had no problem reducing much of I…",0
"Jungsoo is in military, he is busy right? [BOT]",0
"I’d pick your thunder, i’d pick your rain over anyone’s sunshine any day.",0
Hear a very loud bang and then screaming very clearly coming from below me so I go check on my sister who is the on… https://t.co/tVTbiGqUGN,0
Quarantine is a bit excessive,0
I am not allowed to refollow because Twitter says I'm maxed so I am going thru all my followers and remove the ones that loo…,0
"Jae: “Do you play guitar, a little?” Amaya: “No, I just love you” HIS REACTION😭😭😭 I’M DEVASTATED😫♥️ https://t.co/w76RMVm4jV",0
"PHE reports increases in deaths, overdoses, crack injection, HIV, Hep C, homelessness among people who inject drugs. h…",0
"How bookies' pens end up in the sea - dropped outside shops in towns and cities, washed into storm drains, into rivers,…",0
Looks like they had already started body bagging people before they took that film but beli… https://t.co/KbnaLE6TU3,0
Is that why my parents refuse my love? Lmaooooo I highly doubt it. I think it's heavily trauma based https://t.co/FIfEE38QqX,0
Boris Johnson is so effing embarrassing now . Can we turn him off ? https://t.co/jQDmXPZKR4,0
"A little family to introduce today, Brussel and her kittens Sprout and Nutmeg. Mum is only young and the kittens are 6-7 m…",0
Any man that puts Luiz Ortiz to sleep “Twice” is clearly a very very good fighter. That’s all I’m saying. I would p… https://t.co/Y4XSyYePw9,0
What a lovely message to receive - thank you so much. 😃💚,0
Well how about every Republican in Congress takes it in turn to react and comment to an #IMPOTUS tweet. That way th… https://t.co/YwR9c98aAH,0
"I had a go at transforming my FC Private Chambers into a simple modern lounge, inspired by an old build I once visited th…",0
Schools should brace for five years of upheaval from a triumphant party with Gove at its heart https://t.co/sJEVw2L4Kb,0
WHY would you need two planes to pick up four hostages? Are those two Air Fo… https://t.co/izd6hTIsNl,0
The Akatsuki had such drop. https://t.co/pm51DaEVk0,0
2017: l was in Blazing Squad 2018: Danny Dyers is my dad 2019 : Tyson Fury is my brother 2020: Lewis Capaldi is my ex #Lov…,0
"#iveseensomeshit Some years ago as I was driving on the freeway during a thunderstorm, the car directly in front of… https://t.co/BF0HyO7xfG",0
#JNUProtests #CAA_NRC_Protests please burn your property. It is shame that u are advocating violence on our property…,0
HA YOONBIN 하윤빈 (BEN) - Wounds (Official M/V) https://t.co/iRLyDTKFW9 via,0
Brahmins proving they're superior be like attack character &amp;talk about aukat of a bahuj… https://t.co/VwOZvft6eC,0
Bleeding Madras be that,0
"If economic growth is stagnating at below 5% level, and inflation is running up to 7.3%, we have the exact definition of…",0
~YOU NEVER KNOW YOU NEVER KNOW LIES AHEAD ARE ON THE ROAD YOU CAN LOSE YOUR PATH BUT STILL FIND THE WAY HOME JUST… https://t.co/baKuZQPXqt,0
